[Equity Support - Nearing List]
Symbol,Rank,Lot,MTF,Quality Score,LTP,Day Gap%,Week Gap%,Month Gap%,Volatility%,Details
NOMD,2519,100,1.0,1,10.02,-53.99,-53.99,-35.33,2.25,(Stock Name: Nomad Foods Limited; Sector: Consumer Defensive; Intrinsic: 20.62; Revenue: 299 cr; Net Profit: 13 cr; Recommended: none; Projected High: 14.673699; Projected Medium: 13.641472; Projected Low: 9.744236; All time high: 31.85 => 69.0%; SMA 200: 11.5 => -14.74%; RSI: 48.76; Day Volatility: 2.25; Week Volatility: 6.94; Month Volatility: 13.21; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 15.43 => -53.99%; Week Support: 15.43 => -53.99%; Month Support: 13.56 => -35.33%; Day NWE: 9.06 => 9.55%; Week NWE: 7.29 => 27.26%; Month NWE: 8.14 => 18.73%)
BR,735,100,1.0,4,137.6,-54.31,-54.31,4.54,2.93,(Stock Name: Broadridge Financial Solutions,; Sector: Technology; Intrinsic: 24.36; Revenue: 732 cr; Net Profit: 110 cr; Recommended: none; Projected High: 255.0; Projected Medium: 207.0; Projected Low: 165.0; All time high: 271.91 => 49.0%; SMA 200: 197.46 => -43.5%; RSI: 31.7; Day Volatility: 2.93; Week Volatility: 6.94; Month Volatility: 18.65; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 212.33 => -54.31%; Week Support: 212.33 => -54.31%; Month Support: 131.35 => 4.54%; Day NWE: 127.84 => 7.1%; Week NWE: 126.07 => 8.38%; Month NWE: 154.84 => -12.53%)
TSCO,738,100,1.0,4,30.24,-54.93,-54.93,-54.93,3.1,(Stock Name: Tractor Supply Company; Sector: Consumer Cyclical; Intrinsic: 4.9; Revenue: 1565 cr; Net Profit: 108 cr; Recommended: buy; Projected High: 60.0; Projected Medium: 45.0; Projected Low: 32.0; All time high: 63.99 => 53.0%; SMA 200: 48.31 => -59.75%; RSI: 41.37; Day Volatility: 3.1; Week Volatility: 7.57; Month Volatility: 22.23; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 46.85 => -54.93%; Week Support: 46.85 => -54.93%; Month Support: 46.85 => -54.93%; Day NWE: 25.3 => 16.35%; Week NWE: 27.42 => 9.32%; Month NWE: 36.69 => -21.34%)
REFR,5651,100,1.0,-3,0.6,-55.0,-55.0,-55.0,9.96,(Stock Name: Research Frontiers Incorporated; Sector: Technology; Intrinsic: 0.05; Revenue: 0 cr; Net Profit: 0 cr; Recommended: none; Projected High: 0; Projected Medium: 0; Projected Low: 0; All time high: 10.29 => 94.0%; SMA 200: 1.24 => -107.03%; RSI: 22.28; Day Volatility: 9.96; Week Volatility: 20.95; Month Volatility: 50.71; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 0.93 => -55.0%; Week Support: 0.93 => -55.0%; Month Support: 0.93 => -55.0%; Day NWE: 0.55 => 7.58%; Week NWE: 0.28 => 53.67%; Month NWE: 0.06 => 89.67%)
CERT,2909,100,1.0,-2,5.54,-55.87,-55.87,-91.34,6.8,(Stock Name: Certara, Inc.; Sector: Healthcare; Intrinsic: 6.63; Revenue: 42 cr; Net Profit: -2 cr; Recommended: buy; Projected High: 10.0; Projected Medium: 7.65; Projected Low: 6.0; All time high: 45.48 => 88.0%; SMA 200: 8.3 => -49.78%; RSI: 50.64; Day Volatility: 6.8; Week Volatility: 15.72; Month Volatility: 31.2; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 8.64 => -55.87%; Week Support: 8.64 => -55.87%; Month Support: 10.6 => -91.34%; Day NWE: 4.13 => 25.43%; Week NWE: 2.73 => 50.77%; Month NWE: 0.0 => 100.0%)
EVH,3374,100,1.0,-2,4.49,-57.24,-57.24,22.05,6.36,(Stock Name: Evolent Health, Inc; Sector: Healthcare; Intrinsic: 3.52; Revenue: 189 cr; Net Profit: -53 cr; Recommended: buy; Projected High: 8.0; Projected Medium: 6.0; Projected Low: 3.0; All time high: 39.78 => 89.0%; SMA 200: 4.66 => -3.72%; RSI: 56.54; Day Volatility: 6.36; Week Volatility: 13.87; Month Volatility: 25.45; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 7.06 => -57.24%; Week Support: 7.06 => -57.24%; Month Support: 3.5 => 22.05%; Day NWE: 3.57 => 20.56%; Week NWE: -2.43 => 154.03%; Month NWE: -7.99 => 277.97%)
MDXG,3304,100,1.0,1,3.67,-57.77,-57.77,-49.05,3.76,(Stock Name: MiMedx Group, Inc; Sector: Healthcare; Intrinsic: 1.73; Revenue: 39 cr; Net Profit: 3 cr; Recommended: none; Projected High: 8.0; Projected Medium: 6.0; Projected Low: 5.0; All time high: 18.25 => 80.0%; SMA 200: 5.48 => -49.35%; RSI: 50.75; Day Volatility: 3.76; Week Volatility: 6.38; Month Volatility: 24.48; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 5.79 => -57.77%; Week Support: 5.79 => -57.77%; Month Support: 5.47 => -49.05%; Day NWE: 3.16 => 13.87%; Week NWE: 1.88 => 48.68%; Month NWE: 0.74 => 79.9%)
MAXN,5561,100,1.0,-3,1.56,-59.62,-59.62,-47848.72,24.0,(Stock Name: Maxeon Solar Technologies, Ltd.; Sector: Technology; Intrinsic: -19.34; Revenue: 18 cr; Net Profit: -61 cr; Recommended: none; Projected High: 0; Projected Medium: 0; Projected Low: 0; All time high: 5797.0 => 100.0%; SMA 200: 3.18 => -103.96%; RSI: 46.46; Day Volatility: 24.0; Week Volatility: 38.75; Month Volatility: 84.96; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 2.49 => -59.62%; Week Support: 2.49 => -59.62%; Month Support: 748.0 => -47848.72%; Day NWE: 0.78 => 50.14%; Week NWE: -45.08 => 2989.82%; Month NWE: 0.0 => 100.0%)
INTA,2332,100,1.0,-1,22.04,-61.09,-61.09,-37.75,6.67,(Stock Name: Intapp, Inc.; Sector: Technology; Intrinsic: 4.16; Revenue: 56 cr; Net Profit: -4 cr; Recommended: none; Projected High: 47.0; Projected Medium: 35.0; Projected Low: 25.0; All time high: 77.74 => 72.0%; SMA 200: 33.02 => -49.83%; RSI: 44.79; Day Volatility: 6.67; Week Volatility: 14.2; Month Volatility: 39.02; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 35.51 => -61.09%; Week Support: 35.51 => -61.09%; Month Support: 30.36 => -37.75%; Day NWE: 17.42 => 20.96%; Week NWE: 8.62 => 60.88%; Month NWE: 0.0 => 100.0%)
SKYE,5592,100,1.0,-3,0.71,-61.24,-61.24,-103.68,9.26,
BFAM,1780,100,1.0,3,64.32,-61.3,-11.4,15.75,3.51,(Stock Name: Bright Horizons Family Solution; Sector: Consumer Cyclical; Intrinsic: 21.67; Revenue: 298 cr; Net Profit: 19 cr; Recommended: buy; Projected High: 105.0; Projected Medium: 95.0; Projected Low: 70.0; All time high: 182.5 => 65.0%; SMA 200: 89.15 => -38.6%; RSI: 45.68; Day Volatility: 3.51; Week Volatility: 11.41; Month Volatility: 22.53; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 103.75 => -61.3%; Week Support: 71.65 => -11.4%; Month Support: 54.19 => 15.75%; Day NWE: 53.32 => 17.11%; Week NWE: 51.13 => 20.51%; Month NWE: 52.59 => 18.23%)
PD,3155,100,1.0,2,8.48,-61.5,-61.5,-130.07,5.14,(Stock Name: PagerDuty, Inc.; Sector: Technology; Intrinsic: 3.0; Revenue: 49 cr; Net Profit: 19 cr; Recommended: none; Projected High: 10.0; Projected Medium: 9.0; Projected Low: 7.0; All time high: 59.82 => 86.0%; SMA 200: 10.97 => -29.36%; RSI: 51.66; Day Volatility: 5.14; Week Volatility: 15.51; Month Volatility: 31.74; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 13.69 => -61.5%; Week Support: 13.69 => -61.5%; Month Support: 19.51 => -130.07%; Day NWE: 7.08 => 16.52%; Week NWE: 4.37 => 48.49%; Month NWE: 0.0 => 100.0%)
NICE,1460,100,1.0,4,84.68,-62.01,-62.01,-76.59,4.37,(Stock Name: NICE Ltd; Sector: Technology; Intrinsic: 2.45; Revenue: 301 cr; Net Profit: 53 cr; Recommended: buy; Projected High: 170.0; Projected Medium: 130.0; Projected Low: 100.0; All time high: 319.88 => 74.0%; SMA 200: 114.98 => -35.78%; RSI: 36.82; Day Volatility: 4.37; Week Volatility: 14.74; Month Volatility: 26.97; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 137.19 => -62.01%; Week Support: 137.19 => -62.01%; Month Support: 149.54 => -76.59%; Day NWE: 74.85 => 11.61%; Week NWE: 73.26 => 13.49%; Month NWE: 58.18 => 31.3%)
ABR,2789,100,1.0,1,5.2,-62.12,-62.12,-94.23,3.4,(Stock Name: Arbor Realty Trust; Sector: Real Estate; Intrinsic: 11.63; Revenue: 53 cr; Net Profit: 8 cr; Recommended: hold; Projected High: 8.5; Projected Medium: 7.5; Projected Low: 5.5; All time high: 20.74 => 75.0%; SMA 200: 8.53 => -64.12%; RSI: 34.93; Day Volatility: 3.4; Week Volatility: 15.03; Month Volatility: 27.25; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 8.43 => -62.12%; Week Support: 8.43 => -62.12%; Month Support: 10.1 => -94.23%; Day NWE: 4.25 => 18.18%; Week NWE: 4.2 => 19.32%; Month NWE: 4.19 => 19.39%)
ADMA,2236,100,1.0,3,8.31,-62.45,-62.45,87.85,4.36,(Stock Name: ADMA Biologics Inc; Sector: Healthcare; Intrinsic: 1.68; Revenue: 51 cr; Net Profit: 17 cr; Recommended: buy; Projected High: 21.0; Projected Medium: 18.0; Projected Low: 12.0; All time high: 25.67 => 68.0%; SMA 200: 14.32 => -72.34%; RSI: 45.41; Day Volatility: 4.36; Week Volatility: 12.81; Month Volatility: 44.07; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 13.5 => -62.45%; Week Support: 13.5 => -62.45%; Month Support: 1.01 => 87.85%; Day NWE: 5.91 => 28.88%; Week NWE: 4.17 => 49.77%; Month NWE: 7.89 => 5.1%)
CAN,4191,100,1.0,-3,0.33,-62.61,-62.61,,7.61,(Stock Name: Canaan Inc.; Sector: Technology; Intrinsic: 0.51; Revenue: 51 cr; Net Profit: -21 cr; Recommended: none; Projected High: 3.0; Projected Medium: 1.5; Projected Low: 0.9; All time high: 39.1 => 99.0%; SMA 200: 0.75 => -127.06%; RSI: 34.78; Day Volatility: 7.61; Week Volatility: 17.95; Month Volatility: 67.99; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 0.54 => -62.61%; Week Support: 0.54 => -62.61%; Month Support: 0.0 => 100.0%; Day NWE: 0.22 => 32.36%; Week NWE: -0.25 => 175.31%; Month NWE: 0.0 => 100.0%)
MORN,1332,100,1.0,4,153.68,-62.9,-62.9,-6.25,4.66,(Stock Name: Morningstar, Inc.; Sector: Financial Services; Intrinsic: 26.79; Revenue: 251 cr; Net Profit: 40 cr; Recommended: buy; Projected High: 280.0; Projected Medium: 212.0; Projected Low: 210.0; All time high: 365.0 => 58.0%; SMA 200: 199.01 => -29.5%; RSI: 31.37; Day Volatility: 4.66; Week Volatility: 11.73; Month Volatility: 21.14; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 250.34 => -62.9%; Week Support: 250.34 => -62.9%; Month Support: 163.28 => -6.25%; Day NWE: 150.75 => 1.9%; Week NWE: 132.22 => 13.97%; Month NWE: 136.63 => 11.09%)
UTZ,3194,100,1.0,-2,7.05,-63.55,-63.55,-58.44,3.14,(Stock Name: Utz Brands Inc; Sector: Consumer Defensive; Intrinsic: 8.02; Revenue: 145 cr; Net Profit: -1 cr; Recommended: none; Projected High: 15.0; Projected Medium: 12.0; Projected Low: 8.5; All time high: 30.09 => 77.0%; SMA 200: 9.62 => -36.41%; RSI: 44.25; Day Volatility: 3.14; Week Volatility: 9.82; Month Volatility: 22.72; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 11.53 => -63.55%; Week Support: 11.53 => -63.55%; Month Support: 11.17 => -58.44%; Day NWE: 6.12 => 13.16%; Week NWE: 5.3 => 24.79%; Month NWE: 0.0 => 100.0%)
PCTY,1394,100,1.0,4,101.06,-63.55,-63.55,-28.58,3.78,(Stock Name: Paylocity Holding Corporation; Sector: Technology; Intrinsic: 21.33; Revenue: 173 cr; Net Profit: 26 cr; Recommended: strong_buy; Projected High: 250.0; Projected Medium: 145.0; Projected Low: 112.0; All time high: 314.49 => 68.0%; SMA 200: 131.23 => -29.85%; RSI: 36.9; Day Volatility: 3.78; Week Volatility: 10.39; Month Volatility: 20.52; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 165.28 => -63.55%; Week Support: 165.28 => -63.55%; Month Support: 129.94 => -28.58%; Day NWE: 94.12 => 6.87%; Week NWE: 79.91 => 20.93%; Month NWE: 83.69 => 17.19%)
CHWY,1591,100,1.0,3,18.21,-63.78,-63.78,19.36,6.17,(Stock Name: Chewy, Inc.; Sector: Consumer Cyclical; Intrinsic: 1.03; Revenue: 1284 cr; Net Profit: 26 cr; Recommended: buy; Projected High: 42.0; Projected Medium: 31.0; Projected Low: 22.0; All time high: 120.0 => 85.0%; SMA 200: 29.87 => -64.06%; RSI: 32.23; Day Volatility: 6.17; Week Volatility: 14.22; Month Volatility: 31.12; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 29.83 => -63.78%; Week Support: 29.83 => -63.78%; Month Support: 14.69 => 19.36%; Day NWE: 15.82 => 13.12%; Week NWE: 15.18 => 16.66%; Month NWE: 0.0 => 100.0%)
CDLX,5502,100,1.0,-3,5.2,-63.85,-63.85,-394.23,8.59,(Stock Name: Cardlytics, Inc. Common Stock; Sector: Communication Services; Intrinsic: -0.07; Revenue: 21 cr; Net Profit: -11 cr; Recommended: hold; Projected High: 15.0; Projected Medium: 10.0; Projected Low: 8.0; All time high: 1614.7 => 100.0%; SMA 200: 11.78 => -126.56%; RSI: 35.64; Day Volatility: 8.59; Week Volatility: 31.21; Month Volatility: 73.9; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 8.52 => -63.85%; Week Support: 8.52 => -63.85%; Month Support: 25.7 => -394.23%; Day NWE: 3.05 => 41.29%; Week NWE: -9.2 => 276.9%; Month NWE: -6.34 => 221.89%)
SLQT,4474,100,1.0,2,0.99,-63.97,-63.97,48.38,7.68,(Stock Name: SelectQuote, Inc.; Sector: Financial Services; Intrinsic: 2.18; Revenue: 164 cr; Net Profit: 2 cr; Recommended: none; Projected High: 5.0; Projected Medium: 3.0; Projected Low: 1.25; All time high: 33.0 => 97.0%; SMA 200: 1.31 => -32.79%; RSI: 52.44; Day Volatility: 7.68; Week Volatility: 24.98; Month Volatility: 43.37; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 1.62 => -63.97%; Week Support: 1.62 => -63.97%; Month Support: 0.51 => 48.38%; Day NWE: 0.64 => 34.95%; Week NWE: -0.39 => 139.83%; Month NWE: 0.0 => 100.0%)
GTEC,5738,100,1.0,5,0.71,-64.11,-64.11,-58.77,6.36,(Stock Name: Greenland Technologies Holding ; Sector: Consumer Cyclical; Intrinsic: 4.34; Revenue: 9 cr; Net Profit: 1 cr; Recommended: none; Projected High: 6.0; Projected Medium: 6.0; Projected Low: 6.0; All time high: 26.42 => 97.0%; SMA 200: 1.28 => -79.36%; RSI: 41.86; Day Volatility: 6.36; Week Volatility: 17.14; Month Volatility: 56.46; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 1.17 => -64.11%; Week Support: 1.17 => -64.11%; Month Support: 1.13 => -58.77%; Day NWE: 0.44 => 38.65%; Week NWE: 0.1 => 85.35%; Month NWE: 0.0 => 100.0%)
PLNT,1598,100,1.0,4,52.98,-65.57,-65.57,16.7,3.4,(Stock Name: Planet Fitness, Inc.; Sector: Consumer Cyclical; Intrinsic: -6.09; Revenue: 129 cr; Net Profit: 23 cr; Recommended: buy; Projected High: 133.0; Projected Medium: 60.5; Projected Low: 45.0; All time high: 114.47 => 54.0%; SMA 200: 86.35 => -62.98%; RSI: 49.1; Day Volatility: 3.4; Week Volatility: 15.26; Month Volatility: 28.27; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 87.72 => -65.57%; Week Support: 87.72 => -65.57%; Month Support: 44.13 => 16.7%; Day NWE: 42.09 => 20.55%; Week NWE: 40.06 => 24.38%; Month NWE: 52.97 => 0.03%)
PNNT,4260,100,1.0,1,3.43,-66.76,-66.76,-37.03,3.83,(Stock Name: PennantPark Investment Corporat; Sector: Financial Services; Intrinsic: 7.0; Revenue: 11 cr; Net Profit: 1 cr; Recommended: hold; Projected High: 5.0; Projected Medium: 5.0; Projected Low: 4.0; All time high: 13.19 => 74.0%; SMA 200: 5.49 => -59.94%; RSI: 26.79; Day Volatility: 3.83; Week Volatility: 10.2; Month Volatility: 21.82; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 5.72 => -66.76%; Week Support: 5.72 => -66.76%; Month Support: 4.7 => -37.03%; Day NWE: 3.25 => 5.39%; Week NWE: 3.39 => 1.28%; Month NWE: 3.69 => -7.72%)
ASAN,2664,100,1.0,-1,6.92,-67.34,-67.34,-59.61,6.28,(Stock Name: Asana, Inc.; Sector: Technology; Intrinsic: 0.59; Revenue: 81 cr; Net Profit: -16 cr; Recommended: hold; Projected High: 15.0; Projected Medium: 8.0; Projected Low: 5.75; All time high: 145.79 => 95.0%; SMA 200: 10.32 => -49.07%; RSI: 45.24; Day Volatility: 6.28; Week Volatility: 17.29; Month Volatility: 39.53; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 11.58 => -67.34%; Week Support: 11.58 => -67.34%; Month Support: 11.05 => -59.61%; Day NWE: 5.81 => 16.04%; Week NWE: 2.28 => 67.07%; Month NWE: 0.0 => 100.0%)
NA,5385,100,1.0,3,1.97,-69.04,-69.04,-39.59,8.81,(Stock Name: Nano Labs Ltd; Sector: Technology; Intrinsic: 4.79; Revenue: 3 cr; Net Profit: 14 cr; Recommended: none; Projected High: 0; Projected Medium: 0; Projected Low: 0; All time high: 139.5 => 99.0%; SMA 200: 3.52 => -78.66%; RSI: 43.35; Day Volatility: 8.81; Week Volatility: 32.05; Month Volatility: 59.03; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 3.33 => -69.04%; Week Support: 3.33 => -69.04%; Month Support: 2.75 => -39.59%; Day NWE: 1.49 => 24.58%; Week NWE: -0.95 => 148.46%; Month NWE: 0.0 => 100.0%)
BLND,3615,100,1.0,1,1.65,-69.09,-69.09,67.94,7.01,(Stock Name: Blend Labs, Inc.; Sector: Technology; Intrinsic: -0.23; Revenue: 13 cr; Net Profit: -2 cr; Recommended: none; Projected High: 4.5; Projected Medium: 4.0; Projected Low: 1.9; All time high: 21.04 => 92.0%; SMA 200: 2.51 => -52.01%; RSI: 50.88; Day Volatility: 7.01; Week Volatility: 17.06; Month Volatility: 40.25; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 2.79 => -69.09%; Week Support: 2.79 => -69.09%; Month Support: 0.53 => 67.94%; Day NWE: 1.26 => 23.47%; Week NWE: 0.55 => 66.66%; Month NWE: 0.0 => 100.0%)
HOWL,5723,100,1.0,-3,0.35,-69.52,-69.52,-296.01,10.61,
UWMC,3020,100,1.0,4,2.22,-70.95,-70.95,-27.93,8.2,(Stock Name: UWM Holdings Corporation; Sector: Financial Services; Intrinsic: 0.73; Revenue: 361 cr; Net Profit: 7 cr; Recommended: buy; Projected High: 6.5; Projected Medium: 4.875; Projected Low: 4.0; All time high: 14.38 => 85.0%; SMA 200: 4.66 => -109.73%; RSI: 19.88; Day Volatility: 8.2; Week Volatility: 19.4; Month Volatility: 57.72; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 3.8 => -70.95%; Week Support: 3.8 => -70.95%; Month Support: 2.84 => -27.93%; Day NWE: 1.81 => 18.53%; Week NWE: 1.33 => 40.24%; Month NWE: 0.0 => 100.0%)
RYAN,1534,100,1.0,4,34.97,-71.26,-71.26,8.12,4.41,(Stock Name: Ryan Specialty Holdings, Inc.; Sector: Financial Services; Intrinsic: 4.94; Revenue: 310 cr; Net Profit: 11 cr; Recommended: buy; Projected High: 76.0; Projected Medium: 39.0; Projected Low: 31.0; All time high: 77.16 => 55.0%; SMA 200: 45.2 => -29.24%; RSI: 57.2; Day Volatility: 4.41; Week Volatility: 8.67; Month Volatility: 21.82; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 59.89 => -71.26%; Week Support: 59.89 => -71.26%; Month Support: 32.13 => 8.12%; Day NWE: 28.7 => 17.92%; Week NWE: 23.09 => 33.97%; Month NWE: 0.0 => 100.0%)
FOUR,1840,100,1.0,4,39.4,-72.82,-72.82,-8.91,7.76,(Stock Name: Shift4 Payments, Inc.; Sector: Technology; Intrinsic: 8.17; Revenue: 445 cr; Net Profit: 6 cr; Recommended: buy; Projected High: 120.0; Projected Medium: 57.5; Projected Low: 40.0; All time high: 127.5 => 69.0%; SMA 200: 59.77 => -51.71%; RSI: 45.31; Day Volatility: 7.76; Week Volatility: 14.87; Month Volatility: 32.26; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 68.09 => -72.82%; Week Support: 68.09 => -72.82%; Month Support: 42.91 => -8.91%; Day NWE: 32.05 => 18.65%; Week NWE: 19.04 => 51.66%; Month NWE: 0.0 => 100.0%)
FIS,657,100,1.0,5,38.21,-74.06,-74.06,-22.77,3.37,(Stock Name: Fidelity National Information S; Sector: Technology; Intrinsic: 30.9; Revenue: 1144 cr; Net Profit: 267 cr; Recommended: buy; Projected High: 85.0; Projected Medium: 57.0; Projected Low: 37.0; All time high: 158.21 => 76.0%; SMA 200: 56.22 => -47.12%; RSI: 33.86; Day Volatility: 3.37; Week Volatility: 8.01; Month Volatility: 19.4; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 66.51 => -74.06%; Week Support: 66.51 => -74.06%; Month Support: 46.91 => -22.77%; Day NWE: 34.45 => 9.85%; Week NWE: 31.95 => 16.38%; Month NWE: 28.34 => 25.83%)
ZG,2529,100,1.0,4,32.49,-74.3,-74.3,19.33,5.75,(Stock Name: Zillow Group, Inc.; Sector: Communication Services; Intrinsic: 20.31; Revenue: 269 cr; Net Profit: 6 cr; Recommended: buy; Projected High: 110.0; Projected Medium: 64.0; Projected Low: 40.0; All time high: 212.4 => 85.0%; SMA 200: 57.67 => -77.5%; RSI: 33.26; Day Volatility: 5.75; Week Volatility: 11.94; Month Volatility: 34.15; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 56.63 => -74.3%; Week Support: 56.63 => -74.3%; Month Support: 26.21 => 19.33%; Day NWE: 26.07 => 19.75%; Week NWE: 22.55 => 30.59%; Month NWE: 13.77 => 57.62%)
MMYT,1600,100,1.0,3,46.72,-75.17,-75.17,51.84,6.56,(Stock Name: MakeMyTrip Limited; Sector: Consumer Cyclical; Intrinsic: -0.7; Revenue: 104 cr; Net Profit: 5 cr; Recommended: strong_buy; Projected High: 85.0; Projected Medium: 71.0; Projected Low: 58.0; All time high: 123.0 => 62.0%; SMA 200: 66.03 => -41.34%; RSI: 56.5; Day Volatility: 6.56; Week Volatility: 12.0; Month Volatility: 35.79; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 81.84 => -75.17%; Week Support: 81.84 => -75.17%; Month Support: 22.5 => 51.84%; Day NWE: 34.76 => 25.6%; Week NWE: 26.37 => 43.56%; Month NWE: 44.86 => 3.98%)
WDAY,579,100,1.0,5,116.93,-75.6,-75.6,-70.88,4.86,(Stock Name: Workday, Inc.; Sector: Technology; Intrinsic: 30.12; Revenue: 985 cr; Net Profit: 85 cr; Recommended: buy; Projected High: 275.0; Projected Medium: 162.5; Projected Low: 115.0; All time high: 311.28 => 62.0%; SMA 200: 179.64 => -53.63%; RSI: 35.82; Day Volatility: 4.86; Week Volatility: 15.12; Month Volatility: 30.98; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 205.33 => -75.6%; Week Support: 205.33 => -75.6%; Month Support: 199.81 => -70.88%; Day NWE: 110.24 => 5.72%; Week NWE: 93.09 => 20.39%; Month NWE: 108.03 => 7.61%)
LITS,5536,100,1.0,-3,0.83,-75.9,-75.9,-381.93,11.22,
GLOB,2562,100,1.0,1,30.74,-76.84,-76.84,-340.48,7.64,(Stock Name: Globant S.A.; Sector: Technology; Intrinsic: 49.27; Revenue: 245 cr; Net Profit: 11 cr; Recommended: buy; Projected High: 120.0; Projected Medium: 57.0; Projected Low: 38.0; All time high: 354.62 => 91.0%; SMA 200: 54.19 => -76.28%; RSI: 28.28; Day Volatility: 7.64; Week Volatility: 18.33; Month Volatility: 44.23; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 54.36 => -76.84%; Week Support: 54.36 => -76.84%; Month Support: 135.4 => -340.48%; Day NWE: 27.86 => 9.38%; Week NWE: 0.78 => 97.45%; Month NWE: -19.8 => 164.41%)
ZTS,461,100,1.0,4,78.71,-77.49,-77.49,-83.97,3.28,(Stock Name: Zoetis Inc.; Sector: Healthcare; Intrinsic: 7.84; Revenue: 953 cr; Net Profit: 267 cr; Recommended: buy; Projected High: 160.0; Projected Medium: 130.0; Projected Low: 90.0; All time high: 249.27 => 68.0%; SMA 200: 120.72 => -53.37%; RSI: 38.13; Day Volatility: 3.28; Week Volatility: 13.26; Month Volatility: 21.36; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 139.7 => -77.49%; Week Support: 139.7 => -77.49%; Month Support: 144.8 => -83.97%; Day NWE: 67.3 => 14.5%; Week NWE: 72.58 => 7.79%; Month NWE: 81.8 => -3.92%)
Z,1339,100,1.0,4,32.11,-79.1,-79.1,18.59,5.77,(Stock Name: Zillow Group, Inc.; Sector: Communication Services; Intrinsic: 20.31; Revenue: 269 cr; Net Profit: 6 cr; Recommended: hold; Projected High: 76.0; Projected Medium: 61.0; Projected Low: 40.0; All time high: 208.11 => 85.0%; SMA 200: 58.69 => -82.78%; RSI: 31.81; Day Volatility: 5.77; Week Volatility: 12.43; Month Volatility: 35.57; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 57.51 => -79.1%; Week Support: 57.51 => -79.1%; Month Support: 26.14 => 18.59%; Day NWE: 25.64 => 20.14%; Week NWE: 20.88 => 34.99%; Month NWE: 30.28 => 5.7%)
